YEAR,MO,DY,HR,ALLSKY_SFC_UVB,ALLSKY_SFC_LW_DWN,PRECTOTCORR,PS
2025,1,8,1,0.0,382.95,2.89,84.54
2025,1,8,2,0.0,392.1,3.48,84.5
2025,1,8,3,0.0,392.6,3.82,84.46
2025,1,8,4,0.0,388.7,4.13,84.49
2025,1,8,5,0.0,385.48,4.03,84.57
2025,1,8,6,0.01,388.73,3.49,84.65
2025,1,8,7,0.09,388.83,7.94,84.71
2025,1,8,8,0.39,405.77,4.73,84.75
2025,1,8,9,0.8,415.77,2.18,84.74
2025,1,8,10,1.29,414.65,1.53,84.69
2025,1,8,11,1.72,413.77,1.73,84.6
2025,1,8,12,1.8,408.75,2.22,84.49
2025,1,8,13,1.56,396.73,2.75,84.38
2025,1,8,14,1.07,402.12,3.48,84.33
2025,1,8,15,0.54,398.17,5.0,84.32
2025,1,8,16,0.15,397.52,6.09,84.35
2025,1,8,17,0.01,396.33,7.82,84.39
2025,1,8,18,0.0,388.5,10.08,84.43
2025,1,8,19,0.0,373.4,10.43,84.49
2025,1,8,20,0.0,388.25,9.14,84.56
2025,1,8,21,0.0,393.65,6.83,84.58
2025,1,8,22,0.0,395.48,5.75,84.57
2025,1,8,23,0.0,388.38,5.73,84.54
2025,1,9,0,0.0,387.58,6.52,84.5
2025,1,9,1,0.0,372.48,7.99,84.46
2025,1,9,2,0.0,387.52,9.73,84.43
2025,1,9,3,0.0,387.85,11.95,84.44
2025,1,9,4,0.0,384.9,13.32,84.47
2025,1,9,5,0.0,384.27,15.02,84.52
2025,1,9,6,0.01,377.65,14.17,84.59
2025,1,9,7,0.12,361.67,0.87,84.67
2025,1,9,8,0.54,371.42,0.67,84.72
2025,1,9,9,1.08,387.05,0.47,84.72
2025,1,9,10,1.56,399.15,0.38,84.68
2025,1,9,11,1.64,407.0,0.3,84.6
2025,1,9,12,1.6,407.4,0.27,84.49
2025,1,9,13,1.29,404.85,0.29,84.38
2025,1,9,14,0.96,403.98,0.28,84.3
2025,1,9,15,0.5,394.2,0.32,84.27
2025,1,9,16,0.14,388.98,0.39,84.29
2025,1,9,17,0.01,385.4,0.4,84.35
2025,1,9,18,0.0,381.62,0.45,84.42
2025,1,9,19,0.0,371.88,0.48,84.49
2025,1,9,20,0.0,379.1,0.52,84.55
2025,1,9,21,0.0,380.27,0.61,84.58
2025,1,9,22,0.0,371.8,0.75,84.57
2025,1,9,23,0.0,373.5,1.03,84.55
2025,1,10,0,0.0,376.38,1.48,84.51
2025,1,10,1,0.0,363.12,2.08,84.46
2025,1,10,2,0.0,372.0,2.73,84.43
2025,1,10,3,0.0,370.7,3.1,84.43
2025,1,10,4,0.0,360.35,2.87,84.46
2025,1,10,5,0.0,361.02,1.67,84.51
2025,1,10,6,0.01,363.48,0.41,84.58
2025,1,10,7,0.1,359.95,0.02,84.66
2025,1,10,8,0.44,374.42,0.0,84.7
2025,1,10,9,0.93,388.85,0.0,84.69
2025,1,10,10,1.39,402.35,0.0,84.64
2025,1,10,11,1.73,409.75,0.0,84.55
2025,1,10,12,1.65,412.48,0.0,84.45
2025,1,10,13,1.49,397.1,0.0,84.35
2025,1,10,14,1.05,408.35,0.01,84.26
2025,1,10,15,0.52,406.2,0.01,84.23
2025,1,10,16,0.14,402.55,0.01,84.25
2025,1,10,17,0.01,396.6,0.01,84.31
2025,1,10,18,0.0,390.88,0.01,84.39
2025,1,10,19,0.0,379.75,0.01,84.47
2025,1,10,20,0.0,389.0,0.01,84.54
2025,1,10,21,0.0,385.58,0.01,84.57
2025,1,10,22,0.0,382.8,0.01,84.56
2025,1,10,23,0.0,378.02,0.01,84.54
2025,1,11,0,0.0,352.38,0.01,84.5
2025,1,11,1,0.0,367.15,0.01,84.46
2025,1,11,2,0.0,374.85,0.01,84.43
2025,1,11,3,0.0,369.75,0.01,84.41
2025,1,11,4,0.0,369.1,0.0,84.43
2025,1,11,5,0.0,366.2,0.0,84.48
2025,1,11,6,0.01,363.98,0.0,84.56
2025,1,11,7,0.1,358.9,0.0,84.63
2025,1,11,8,0.44,375.95,0.0,84.68
2025,1,11,9,0.96,381.75,0.01,84.67
2025,1,11,10,1.51,391.05,0.0,84.63
2025,1,11,11,1.76,399.4,0.0,84.57
2025,1,11,12,1.7,419.25,0.0,84.49
2025,1,11,13,1.51,393.08,0.0,84.4
2025,1,11,14,0.98,410.77,0.0,84.33
2025,1,11,15,0.52,409.58,0.0,84.31
2025,1,11,16,0.16,409.73,0.0,84.34
2025,1,11,17,0.01,407.12,0.0,84.41
2025,1,11,18,0.0,400.95,0.0,84.47
2025,1,11,19,0.0,383.77,0.0,84.55
2025,1,11,20,0.0,395.42,0.01,84.61
2025,1,11,21,0.0,388.8,0.01,84.63
2025,1,11,22,0.0,379.6,0.01,84.62
2025,1,11,23,0.0,381.73,0.01,84.59
2025,1,12,0,0.0,390.08,0.01,84.55
2025,1,12,1,0.0,349.8,0.02,84.5
2025,1,12,2,0.0,362.05,0.02,84.48
2025,1,12,3,0.0,363.25,0.02,84.49
2025,1,12,4,0.0,359.2,0.02,84.52
2025,1,12,5,0.0,357.65,0.02,84.57
2025,1,12,6,0.01,352.4,0.01,84.62
2025,1,12,7,0.11,336.33,0.0,84.69
2025,1,12,8,0.53,351.45,0.0,84.72
2025,1,12,9,1.09,370.73,0.0,84.71
2025,1,12,10,1.64,381.38,0.0,84.65
2025,1,12,11,1.91,393.77,0.0,84.57
2025,1,12,12,1.87,397.2,0.0,84.48
2025,1,12,13,1.48,384.73,0.0,84.4
2025,1,12,14,1.09,399.3,0.0,84.35
2025,1,12,15,0.56,401.3,0.0,84.35
